target,model,split,mse,mae,r2,n_features
danceability,mean_baseline,test,0.03525326476603815,0.15292403181730532,-8.320265076910971e-07,13
danceability,linear_regression,test,0.020519183787501755,0.11498937840512556,0.417948919165804,13
danceability,ridge,test,0.020519099217609332,0.11498995996578078,0.4179513180915021,13
danceability,lasso,test,0.020518356173051457,0.11500349156785206,0.41797239543514786,13
energy,mean_baseline,test,0.06787511057523697,0.21556281893293558,-6.482152470566049e-06,13
energy,linear_regression,test,0.017964357124236906,0.10351502341634157,0.7353304706292023,13
energy,ridge,test,0.01796435005008812,0.10351591563406308,0.7353305748528947,13
energy,lasso,test,0.017964035442320118,0.1035322291878462,0.7353352099806266,13
valence,mean_baseline,test,0.06701983957508813,0.21909043897628988,-8.285051283007938e-05,13
valence,linear_regression,test,0.04741635920091022,0.17713617339028348,0.29244402894373556,13
valence,ridge,test,0.047416331662694794,0.1771402887043342,0.2924444398742474,13
valence,lasso,test,0.04741470736985035,0.1771511209983067,0.29246867788239894,13
acousticness,mean_baseline,test,0.11999217796498925,0.3035311179986087,-4.717791147967887e-06,13
acousticness,linear_regression,test,0.05219567079022612,0.1804424433680969,0.5650056701718573,13
acousticness,ridge,test,0.05219560702822742,0.18044575439869345,0.565006201558991,13
acousticness,lasso,test,0.052196750563409056,0.18046037844405513,0.5649966714329778,13
loudness,mean_baseline,test,42.487482893167304,4.761927133834544,-3.3493011741825285e-07,13
loudness,linear_regression,test,11.838672159279499,2.417451685506651,0.7213608498725348,13
loudness,ridge,test,11.83863430391071,2.417419988001071,0.7213617408498036,13
loudness,lasso,test,11.838679956193156,2.4174186978470007,0.7213606663616338,13
tempo,mean_baseline,test,888.7547858789814,24.119282062744055,-1.0966473813267541e-05,13
tempo,linear_regression,test,827.899110566421,23.2966995883087,0.06846274939433028,13
tempo,ridge,test,827.9010564611162,23.296455483482156,0.06846055990847233,13
tempo,lasso,test,827.8784524332684,23.294725381041527,0.06848599355574303,13
